ticker,name,listed_date,sic_code,market_cap,weighted_shares
ALG,"Alamo Group, Inc.",1993-03-22,3523,1334819936.5800002,11958609.0
ALGM,"Allegro MicroSystems, Inc. Common Stock",2020-10-29,3674,4149103721.4,190500630.0
ALGN,Align Technology Inc,2001-01-26,3842,18712377135.149998,78805547.0
ALGS,"Aligos Therapeutics, Inc. Common Stock",2020-10-16,2836,58065465.2,42695195.0
ALGT,Allegiant Travel Company,2006-12-08,4512,2187293298.63,18117231.0
ALHC,"Alignment Healthcare, Inc. Common Stock",2021-03-26,6324,2072931591.51,187256693.0
ALIM,"Alimera Sciences, Inc.",2010-04-22,2834,35575041.88,7002961.0
ALIT,"Alight, Inc.",2021-07-06,7389,3203076548.52,465225352.0
ALJJ,"ALJ Regional Holdings, Inc. Common Stock",1996-04-03,7389,85665836.6,42408830.0
ALK,"Alaska Air Group, Inc.",1983-01-03,4512,5055021224.160001,126091824.0
ALKS,Alkermes Inc. plc,1991-07-16,2834,4443181226.96,164136728.0
ALKT,"Alkami Technology, Inc. Common Stock",2021-04-14,7372,1008284104.365,90469637.0
ALL,The Allstate Corporation,1993-06-03,6331,33520427456.2,274982998.0
ALLE,Allegion Public Limited Company,2013-11-18,7381,8832735927.4,87804920.0
ALLG,Allego N.V.,2022-03-17,,1910478960.0,265344300.0
ALLK,Allakos Inc.,2018-07-19,2834,153101477.42499998,54776915.0
ALLO,"Allogene Therapeutics, Inc. Common Stock",2018-10-11,2836,1266554769.48,143600314.0
ALLR,"Allarity Therapeutics, Inc. Common Stock",2021-12-21,2834,16152933.3,9283295.0
ALLT,Allot Ltd. Ordinary Shares,2006-11-16,,189522959.92,36587444.0
ALLY,Ally Financial Inc.,2013-12-13,6022,11044945030.73,323046067.0
ALNA,"Allena Pharmaceuticals, Inc. Common Stock",2017-11-02,2836,10512571.583899999,89774309.0
ALNY,"Alnylam Pharmaceuticals, Inc.",2004-05-28,2834,16060954533.46,120813559.0
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,2022-01-10,6770,223875900.00000003,22477500.0
ALOT,"AstroNova, Inc. Common Stock",1984-09-07,3577,89821691.9379,7318463.0
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,2021-09-16,6770,191166336.37,19769011.0
ALPN,"Alpine Immune Sciences, Inc. Common Stock",2015-06-17,2834,259914919.34,30328462.0
ALPP,"Alpine 4 Holdings, Inc. Common Stock",2016-12-13,3669,118331011.0343,183430493.0
ALR,AlerisLife Inc. Common Stock,2001-12-17,8051,41665145.6,32550895.0
ALRM,"Alarm.com Holdings, Inc.",2015-06-26,7372,2957654415.45,50087289.0
ALRN,"Aileron Therapeutics, Inc. Common Stock",2017-06-29,2834,36320356.440299995,90823597.0
ALRS,Alerus Financial Corporation Common Stock,2000-11-01,6021,402996683.25,17288575.0
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,2022-01-18,6770,145873600.0,14705000.0
ALSN,"ALLISON TRANSMISSION HOLDINGS, INC.",2012-03-15,3714,3807846062.58,97064646.0
ALT,"Altimmune, Inc. Common Stock",2005-10-06,2834,391567383.48,43219358.0
ALTG,Alta Equipment Group Inc.,2019-04-25,5084,316102203.5,32454025.0
ALTO,"Alto Ingredients, Inc. Common Stock",2005-03-24,2860,343342547.37,74076062.0
ALTR,Altair Engineering Inc. Class A Common Stock,2017-11-01,7372,3931854575.67,79769823.0
ALTU,Altitude Acquisition Corp. Class A Common Stock,2021-01-29,6770,376875000.0,37500000.0
ALV,"Autoliv, Inc.",1997-04-28,3714,6163000260.4800005,87344108.0
ALVR,"AlloVir, Inc. Common Stock",2020-07-30,2836,230269765.44,65417547.0
ALX,Alexander's Inc.,1969-10-07,6798,1105728285.0,5107290.0
ALXO,ALX Oncology Holdings Inc. Common Stock,2020-07-17,2834,267680631.26,40680947.0
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,2018-11-02,,231170997.6,92560960.0
ALZN,"Alzamend Neuro, Inc. Common Stock",2021-06-15,2834,78145505.529,93019290.0
AM,Antero Midstream Corporation Common Stock,2017-05-04,4922,4719780728.78,478436972.0
AMAL,Amalgamated Financial Corp. Common Stock (DE),2018-06-06,6022,618159469.265,30853979.0
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,2021-04-29,6770,45649111.1,4537685.0
AMAT,Applied Materials Inc,1972-10-12,3674,83706326992.94,869947277.0
AMBA,"Ambarella, Inc. Ordinary Shares",2012-10-10,3674,2616945139.6000004,38120104.0
AMBC,"Ambac Financial Group, Inc.",1989-08-25,6351,477197910.02000004,45039916.0
AMBP,Ardagh Metal Packaging S.A.,2021-08-05,,3458205000.0,603000000.0
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",2013-12-18,7830,6124324050.75,516820595.0
AMCI,AMCI Acquisition Corp. II Class A Common Stock,2021-09-24,2860,183937500.0,18750000.0
AMCR,Amcor plc Ordinary Shares,2019-06-11,3990,18115852604.665,1502766703.0
AMCX,AMC Networks Inc. Class A,2011-06-16,4841,1290999278.72,42918859.0
AMD,Advanced Micro Devices,1979-10-15,3674,140482478400.9216,1620507904.0
AME,"Ametek, Inc.",1930-07-01,3823,25622929148.685,230910009.0
AMED,Amedisys Inc,1994-08-17,8082,3639198314.5,32572820.0
AMEH,"Apollo Medical Holdings, Inc. Common Stock",2015-06-03,8742,1512292719.93,45122862.0
AMG,Affiliated Managers Group,1997-11-21,6282,4525759499.88,38675094.0
AMGN,Amgen Inc,1983-06-17,2836,125264542289.17,534199933.0
AMH,AMERICAN HOMES 4 RENT,2013-08-01,6798,11396145749.359999,348292963.0
AMK,"AssetMark Financial Holdings, Inc.",2019-07-18,6282,1365169200.8500001,73594027.0
AMKR,Amkor Technology Inc,1998-05-01,3674,4408472563.54,244779154.0
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock",2022-01-07,2834,896758288.933,58533226.0
AMN,AMN Healthcare Services,2001-11-13,7363,4474026895.5,44717910.0
AMNB,American National Bankshares Inc,1999-04-13,6021,355753700.77,10705799.0
AMOT,Allied Motion Technologies Inc,1992-02-25,3825,360408247.5,15501430.0
AMP,"Ameriprise Financial, Inc.",2005-09-15,6282,26529844358.32,109904488.0
AMPE,"Ampio Pharmaceuticals, Inc",2003-10-07,2834,46800494.602,227186867.0
AMPG,AMPLITECH GROUP INC. COM,2013-02-21,3669,16864518.88,9582113.0
AMPH,"Amphastar Pharmaceuticals, Inc.",2014-06-25,2834,1517141668.51,48829793.0
